time_th,open,high,low,close,tick_volume,tr,atr14,range,body,upper_wick,lower_wick,close_pos,swing_high,swing_low,structure_event,bos_up,bos_dn,choch_up,choch_dn,ema20,ema50,pwh,pwl,pwc,sweep_prev_high,sweep_prev_low
2025-11-24T07:00:00+0700,1.15103,1.155,1.15014,1.15199,31031,0.0048600000000000865,0.0048600000000000865,0.0048600000000000865,0.0009600000000000719,0.003009999999999957,0.0008900000000000574,0.38065843621401163,0,0,,0,0,0,0,1.15199,1.15199,,,,0,0
2025-11-25T07:00:00+0700,1.15176,1.15856,1.15112,1.15682,38510,0.007440000000000113,0.005044285714285802,0.007440000000000113,0.0050600000000000644,0.0017400000000000748,0.0006399999999999739,0.7661290322580581,0,0,,0,0,0,0,1.15245,1.152179411764706,1.155,1.15014,1.15199,0,0
2025-11-26T07:00:00+0700,1.1567,1.16004,1.15467,1.15958,43783,0.005369999999999875,0.005067551020408237,0.005369999999999875,0.0028799999999999937,0.00045999999999990493,0.0020299999999999763,0.9143389199255278,0,0,,0,0,0,0,1.1531290476190477,1.1524696309111881,1.155,1.15014,1.15199,0,0
2025-11-27T07:00:00+0700,1.15882,1.16131,1.15761,1.15944,24861,0.0037000000000000366,0.004969868804664794,0.0037000000000000366,0.0006200000000000649,0.0018700000000000383,0.0012099999999999334,0.49459459459458927,0,0,,0,0,0,0,1.153730090702948,1.1527429787185925,1.155,1.15014,1.15199,0,0
2025-11-28T07:00:00+0700,1.15917,1.16071,1.15546,1.15951,59627,0.005249999999999977,0.004989878175760164,0.005249999999999977,0.00034000000000000696,0.0011999999999998678,0.003710000000000102,0.7714285714285956,0,0,,0,0,0,0,1.1542805582550482,1.1530083521021772,1.155,1.15014,1.15199,0,0
2025-12-01T07:00:00+0700,1.159,1.16515,1.15889,1.16075,40823,0.006259999999999932,0.005080601163205862,0.006259999999999932,0.0017499999999999183,0.0043999999999999595,0.0001100000000000545,0.2971246006389765,0,0,,0,0,0,0,1.1548966955640914,1.153311946137386,1.155,1.15014,1.15199,0,0
2025-12-02T07:00:00+0700,1.16068,1.16254,1.1590799999999999,1.16236,31070,0.0034600000000000186,0.004964843937262587,0.0034600000000000186,0.0016800000000001258,0.00017999999999984695,0.0016000000000000458,0.9479768786127613,0,0,,0,0,0,0,1.1556074864627492,1.1536667717790572,1.16515,1.15112,1.16075,0,0
2025-12-03T07:00:00+0700,1.1620300000000001,1.16771,1.16174,1.16698,32980,0.005970000000000031,0.00503664079888669,0.005970000000000031,0.004949999999999788,0.0007300000000001194,0.0002900000000001235,0.8777219430485569,0,0,,0,0,0,0,1.1566905829901064,1.1541888591602707,1.16515,1.15112,1.16075,0,0
2025-12-04T07:00:00+0700,1.16645,1.16815,1.16406,1.16435,32853,0.004089999999999927,0.004969023598966207,0.004089999999999927,0.0020999999999999908,0.0017000000000000348,0.00028999999999990145,0.07090464547674978,1,0,,0,0,0,0,1.157420051276763,1.1545873352716327,1.16515,1.15112,1.16075,1,0
2025-12-05T07:00:00+0700,1.16417,1.16713,1.16275,1.16419,32570,0.0043800000000000505,0.004926950484754339,0.0043800000000000505,2.0000000000131024e-05,0.0029399999999999427,0.0014199999999999768,0.3287671232876921,0,0,,0,0,0,0,1.1580648082980236,1.1549639103590197,1.16515,1.15112,1.16075,1,0
2025-12-08T07:00:00+0700,1.16329,1.16717,1.1616,1.16357,39075,0.005570000000000075,0.004972882592986178,0.005570000000000075,0.000280000000000058,0.0036000000000000476,0.0016899999999999693,0.3536804308797129,0,0,,0,0,0,0,1.1585891122696403,1.1553014040704306,1.16515,1.15112,1.16075,1,0
2025-12-09T07:00:00+0700,1.16316,1.16568,1.16146,1.16251,35326,0.0042200000000001125,0.004919105264915745,0.0042200000000001125,0.0006500000000000394,0.0025200000000000777,0.0010499999999999954,0.24881516587676952,0,1,,0,0,0,0,1.1589625301487223,1.1555840941068845,1.16815,1.1590799999999999,1.16357,0,0
2025-12-10T07:00:00+0700,1.1625,1.16993,1.1621299999999999,1.16942,40697,0.007800000000000029,0.005124883460278908,0.007800000000000029,0.006919999999999815,0.0005100000000000104,0.0003700000000002035,0.9346153846153835,0,0,BOS_UP,1,0,0,0,1.1599584796583677,1.1561266786517126,1.16815,1.1590799999999999,1.16357,0,0
2025-12-11T07:00:00+0700,1.16936,1.1762299999999999,1.16818,1.17374,39464,0.00804999999999989,0.005333820355973264,0.00804999999999989,0.0043800000000000505,0.002489999999999881,0.0011799999999999589,0.6906832298136751,0,0,BOS_UP,1,0,0,0,1.1612710054051898,1.1568173971359592,1.16815,1.1590799999999999,1.16357,0,0
2025-12-12T07:00:00+0700,1.17382,1.17494,1.17191,1.17385,35031,0.003030000000000088,0.005169261759118037,0.003030000000000088,2.999999999997449e-05,0.0010900000000000354,0.0019100000000000783,0.640264026402639,0,0,BOS_UP,1,0,0,0,1.1624690048904098,1.1574853423463138,1.16815,1.1590799999999999,1.16357,0,0
2025-12-15T07:00:00+0700,1.17298,1.1768399999999999,1.17259,1.17522,33924,0.004249999999999865,0.005103600204895311,0.004249999999999865,0.0022400000000000198,0.0016199999999999548,0.00038999999999989043,0.6188235294117632,0,0,BOS_UP,1,0,0,0,1.1636833853770374,1.1581808191170466,1.16815,1.1590799999999999,1.16357,0,0
2025-12-16T07:00:00+0700,1.17494,1.18035,1.17346,1.17456,41798,0.006890000000000063,0.005231200190259936,0.006890000000000063,0.00038000000000004697,0.005409999999999915,0.001100000000000101,0.15965166908564454,1,0,,0,0,0,0,1.164719253436367,1.158823139935986,1.1768399999999999,1.16146,1.17522,1,0
2025-12-17T07:00:00+0700,1.17451,1.17576,1.17027,1.17392,39812,0.005489999999999995,0.005249685890955654,0.005489999999999995,0.0005899999999998684,0.0012499999999999734,0.003650000000000153,0.6648451730419228,0,0,,0,0,0,0,1.165595515013856,1.1594151736639866,1.1768399999999999,1.16146,1.17522,0,0
2025-12-18T07:00:00+0700,1.17372,1.17621,1.17122,1.17224,39466,0.00499000000000005,0.0052311368987445405,0.00499000000000005,0.0014800000000001479,0.002489999999999881,0.0010200000000000209,0.2044088176352727,0,0,,0,0,0,0,1.1662283231077746,1.1599181080301049,1.1768399999999999,1.16146,1.17522,0,0
2025-12-19T07:00:00+0700,1.17156,1.17373,1.17024,1.17068,35931,0.003489999999999993,0.005106769977405645,0.003489999999999993,0.0008799999999999919,0.0021700000000000053,0.00043999999999999595,0.12607449856733433,0,1,,0,0,0,0,1.1666522923356055,1.1603401430093165,1.1768399999999999,1.16146,1.17522,0,0
2025-12-22T07:00:00+0700,1.17139,1.17689,1.17056,1.17604,30934,0.006329999999999947,0.005194143550448095,0.006329999999999947,0.004650000000000043,0.0008500000000000174,0.0008299999999998864,0.8657187993680846,0,0,,0,0,0,0,1.1675463597322147,1.160955823675618,1.1768399999999999,1.16146,1.17522,1,0
2025-12-23T07:00:00+0700,1.17533,1.18015,1.1752,1.1791800000000001,40453,0.00495000000000001,0.00517670472541609,0.00495000000000001,0.003850000000000131,0.0009699999999999154,0.00012999999999996348,0.8040404040404215,0,0,,0,0,0,0,1.1686543254720037,1.1616704972569663,1.18035,1.17024,1.17604,0,0
2025-12-24T07:00:00+0700,1.1789399999999999,1.18075,1.17722,1.17758,34644,0.003530000000000033,0.005059082959314943,0.003530000000000033,0.0013599999999998058,0.0018100000000000893,0.000360000000000138,0.10198300283289932,1,0,,0,0,0,0,1.1695043897127653,1.1622943993253207,1.18035,1.17024,1.17604,1,0
2025-12-26T07:00:00+0700,1.17765,1.17963,1.17611,1.17695,37232,0.0035199999999999676,0.004949148462221016,0.0035199999999999676,0.000700000000000145,0.0019799999999998708,0.0008399999999999519,0.23863636363635216,0,0,,0,0,0,0,1.1702134954544068,1.1628691287635435,1.18035,1.17024,1.17604,0,0
2025-12-29T07:00:00+0700,1.17633,1.17886,1.1749,1.17708,35371,0.0039599999999999635,0.004878495000633799,0.0039599999999999635,0.0007499999999998064,0.0017800000000001148,0.0014300000000000423,0.5505050505050174,0,0,,0,0,0,0,1.1708674482682728,1.1634264178316398,1.18035,1.17024,1.17604,0,0
2025-12-30T07:00:00+0700,1.1766,1.17794,1.17429,1.17464,30913,0.003649999999999931,0.00479074535773138,0.003649999999999931,0.001960000000000184,0.0013399999999998968,0.00034999999999985043,0.09589041095886494,0,0,,0,0,0,0,1.1712267389093896,1.1638661661519676,1.18075,1.1749,1.17708,0,0
2025-12-31T07:00:00+0700,1.17421,1.1759,1.17196,1.17444,32454,0.003940000000000055,0.004729977832179143,0.003940000000000055,0.00022999999999995246,0.0014600000000000168,0.0022500000000000853,0.6294416243654831,0,0,,0,0,0,0,1.1715327637751618,1.164280826302871,1.18075,1.1749,1.17708,0,0
2026-01-02T07:00:00+0700,1.17447,1.17645,1.17129,1.17183,31850,0.005160000000000053,0.0047606937013092085,0.005160000000000053,0.0026399999999999757,0.001980000000000093,0.0005399999999999849,0.10465116279069367,0,0,,0,0,0,0,1.171561071987051,1.1645768723302095,1.18075,1.1749,1.17708,0,0
2026-01-05T07:00:00+0700,1.17185,1.17283,1.16585,1.17202,40823,0.006979999999999986,0.004919215579787121,0.006979999999999986,0.00017000000000000348,0.0008099999999999774,0.006000000000000005,0.8839541547277967,0,1,,0,0,0,0,1.1716047794168558,1.164868759689809,1.18075,1.1749,1.17708,0,0
2026-01-06T07:00:00+0700,1.17175,1.17424,1.16834,1.16872,37161,0.005900000000000016,0.004989271609802328,0.005900000000000016,0.003030000000000088,0.002489999999999881,0.00038000000000004697,0.06440677966102473,0,0,,0,0,0,0,1.1713300385200125,1.1650197887215814,1.17794,1.16585,1.17202,0,0
2026-01-07T07:00:00+0700,1.1684,1.17023,1.16724,1.16744,34849,0.002990000000000048,0.0048464664948164515,0.002990000000000048,0.0009600000000000719,0.0018299999999999983,0.00019999999999997797,0.06688963210701497,0,0,,0,0,0,0,1.1709595586609638,1.1651146989677938,1.17794,1.16585,1.17202,0,0
2026-01-08T07:00:00+0700,1.16729,1.16825,1.16422,1.16571,31922,0.004029999999999978,0.004788147459472417,0.004029999999999978,0.0015799999999999148,0.0009600000000000719,0.0014899999999999913,0.36972704714640187,0,0,CHOCH_DN,0,0,0,1,1.1704596006932528,1.1651380441063117,1.17794,1.16585,1.17202,0,0
2026-01-09T07:00:00+0700,1.16562,1.16619,1.16177,1.16317,36406,0.0044200000000000905,0.0047618512123672515,0.0044200000000000905,0.0024500000000000632,0.0005699999999999594,0.0014000000000000679,0.31674208144797267,0,1,,0,0,0,0,1.169765353008181,1.1650608659060642,1.17794,1.16585,1.17202,0,0
2026-01-12T07:00:00+0700,1.16268,1.16981,1.16212,1.16649,36709,0.007689999999999975,0.0049710046971981605,0.007689999999999975,0.003810000000000091,0.0033199999999999896,0.0005599999999998939,0.5682704811443432,1,0,,0,0,0,0,1.1694534146264497,1.1651169103803363,1.17794,1.16585,1.17202,0,1
2026-01-13T07:00:00+0700,1.16661,1.16771,1.16337,1.16414,35271,0.0043400000000000105,0.004925932933112579,0.0043400000000000105,0.0024699999999999722,0.001100000000000101,0.0007699999999999374,0.17741935483869484,0,0,,0,0,0,0,1.1689473751382164,1.1650786001693427,1.17424,1.16177,1.16649,0,0
2026-01-14T07:00:00+0700,1.16402,1.16612,1.1635,1.1644,34032,0.0026200000000000667,0.004761223437890257,0.0026200000000000667,0.00038000000000004697,0.0017199999999999438,0.000520000000000076,0.34351145038171754,0,0,,0,0,0,0,1.1685142917917197,1.165051988397996,1.17424,1.16177,1.16649,0,0
2026-01-15T07:00:00+0700,1.16435,1.16465,1.15926,1.16083,33592,0.005390000000000006,0.004806136049469526,0.005390000000000006,0.0035199999999999676,0.00029999999999996696,0.0015700000000000713,0.29128014842301847,0,0,BOS_DN,0,1,0,0,1.1677824544782227,1.1648864202255256,1.17424,1.16177,1.16649,0,0
2026-01-16T07:00:00+0700,1.16036,1.16269,1.15841,1.15972,33625,0.0042800000000000615,0.00476855490307885,0.0042800000000000615,0.0006399999999999739,0.0023299999999999432,0.0013100000000001444,0.3060747663551695,0,0,BOS_DN,0,1,0,0,1.167014601670773,1.164683815510799,1.17424,1.16177,1.16649,0,0
2026-01-19T07:00:00+0700,1.15786,1.16483,1.15767,1.1644700000000001,32387,0.007160000000000055,0.004939372410001793,0.007160000000000055,0.006610000000000227,0.00035999999999991594,0.00018999999999991246,0.9497206703910736,0,1,,0,0,0,0,1.166772258654509,1.164675430588807,1.17424,1.16177,1.16649,0,1
2026-01-20T07:00:00+0700,1.16413,1.1768,1.16322,1.1724999999999999,49056,0.013580000000000148,0.005556560095001676,0.013580000000000148,0.008369999999999767,0.0043000000000001926,0.0009100000000001884,0.6833578792341571,1,0,,0,0,0,0,1.16731775783027,1.1649822764480693,1.16771,1.15767,1.1644700000000001,0,0
2026-01-21T07:00:00+0700,1.17177,1.17426,1.16757,1.1686,45223,0.006690000000000085,0.005637520088215848,0.006690000000000085,0.003169999999999895,0.0024900000000001032,0.0010300000000000864,0.15396113602392725,0,0,,0,0,0,0,1.1674398761321492,1.1651241479599097,1.16771,1.15767,1.1644700000000001,0,0
2026-01-22T07:00:00+0700,1.168,1.17551,1.16696,1.17536,37002,0.008550000000000058,0.0058455543676290056,0.008550000000000058,0.007360000000000033,0.0001500000000000945,0.0010399999999999299,0.9824561403508663,0,0,,0,0,0,0,1.168194173643373,1.1655255539222662,1.16771,1.15767,1.1644700000000001,0,0
2026-01-23T07:00:00+0700,1.17479,1.18332,1.17278,1.18273,43852,0.010539999999999994,0.006180871912798362,0.010539999999999994,0.007940000000000058,0.0005899999999998684,0.0020100000000000673,0.9440227703984945,0,0,CHOCH_UP,0,0,1,0,1.16957853805829,1.1662002380821772,1.16771,1.15767,1.1644700000000001,0,0
2026-01-26T07:00:00+0700,1.1859899999999999,1.19066,1.1834500000000001,1.18786,59293,0.007929999999999993,0.006305809633312765,0.007209999999999939,0.0018700000000000383,0.0028000000000001357,0.0025399999999997647,0.6116504854368711,0,0,BOS_UP,1,0,0,0,1.171319629671786,1.167049640510327,1.16771,1.15767,1.1644700000000001,0,0
2026-01-27T07:00:00+0700,1.18715,1.20819,1.185,1.20389,60773,0.023190000000000044,0.007511823230933285,0.023190000000000044,0.016739999999999977,0.0043000000000001926,0.0021499999999998742,0.8145752479516953,1,0,,0,0,0,0,1.1744215697030445,1.1684943604903142,1.19066,1.16322,1.18786,0,0
2026-01-28T07:00:00+0700,1.2036,1.2044,1.18953,1.1952,66284,0.014869999999999939,0.008037407285866617,0.014869999999999939,0.008399999999999963,0.0007999999999999119,0.005670000000000064,0.38130464021520427,0,0,,0,0,0,0,1.176400467826564,1.1695416404710863,1.19066,1.16322,1.18786,0,0
2026-01-29T07:00:00+0700,1.19527,1.19961,1.19056,1.19692,66018,0.009050000000000002,0.008109735336876145,0.009050000000000002,0.0016499999999999293,0.002690000000000081,0.004709999999999992,0.7027624309392176,0,0,,0,0,0,0,1.1783547089859387,1.1706153016290828,1.19066,1.16322,1.18786,0,0
2026-01-30T07:00:00+0700,1.19621,1.19742,1.18488,1.1849,81380,0.012539999999999996,0.008426182812813564,0.012539999999999996,0.011309999999999931,0.0012099999999999334,2.0000000000131024e-05,0.0015948963317488861,0,0,,0,0,0,0,1.178978070034897,1.1711754858789227,1.19066,1.16322,1.18786,1,0
2026-02-02T07:00:00+0700,1.1849,1.18743,1.17755,1.17892,70012,0.009879999999999889,0.008530026897612588,0.009879999999999889,0.005980000000000096,0.002529999999999921,0.0013699999999998713,0.13866396761132457,0,1,,0,0,0,0,1.1789725395553832,1.1714791923150434,1.19066,1.16322,1.18786,0,0
2026-02-03T07:00:00+0700,1.17812,1.1828400000000001,1.1779600000000001,1.1817199999999999,50939,0.0048799999999999955,0.00826931069064026,0.0048799999999999955,0.0035999999999998256,0.001120000000000232,0.00015999999999993797,0.7704918032786408,0,0,,0,0,0,0,1.1792342024548705,1.171880792616414,1.20819,1.17755,1.17892,0,0
2026-02-04T07:00:00+0700,1.1813500000000001,1.18375,1.179,1.18041,49437,0.004750000000000032,0.00801793135559453,0.004750000000000032,0.0009400000000001629,0.0023999999999999577,0.0014099999999999113,0.2968421052631372,0,0,,0,0,0,0,1.1793461831734542,1.172215271337339,1.20819,1.17755,1.17892,0,0
2026-02-05T07:00:00+0700,1.18008,1.18213,1.17739,1.17777,53746,0.0047399999999999665,0.00778379340162349,0.0047399999999999665,0.0023100000000000342,0.0020499999999998852,0.00038000000000004697,0.08016877637131849,0,0,,0,0,0,0,1.179196070490268,1.172433103833914,1.20819,1.17755,1.17892,0,1
2026-02-06T07:00:00+0700,1.17758,1.18256,1.17652,1.18132,41003,0.006040000000000045,0.007659236730078959,0.006040000000000045,0.0037399999999998546,0.0012400000000001299,0.001060000000000061,0.794701986754947,0,1,,0,0,0,0,1.179398349491195,1.1727816095659174,1.20819,1.17755,1.17892,0,1
2026-02-09T07:00:00+0700,1.181,1.19262,1.18093,1.1914,46795,0.011689999999999978,0.007947148392216176,0.011689999999999978,0.010399999999999965,0.0012199999999999989,7.00000000000145e-05,0.8956372968349016,0,0,,0,0,0,0,1.1805413638253668,1.1735117425241166,1.20819,1.17755,1.17892,0,0
2026-02-10T07:00:00+0700,1.19087,1.19281,1.18865,1.18926,41726,0.0041599999999999415,0.007676637792772159,0.0041599999999999415,0.0016100000000001113,0.0019399999999998307,0.0006099999999999994,0.1466346153846173,1,0,,0,0,0,0,1.1813717101277128,1.174129321248661,1.19262,1.17652,1.1914,1,0
2026-02-11T07:00:00+0700,1.18916,1.1926700000000001,1.1832799999999999,1.18699,49725,0.009390000000000231,0.007799020807574164,0.009390000000000231,0.0021700000000000053,0.003510000000000124,0.003710000000000102,0.3951011714590001,0,0,,0,0,0,0,1.181906785353645,1.1746336615918507,1.19262,1.17652,1.1914,1,0
2026-02-12T07:00:00+0700,1.18747,1.18894,1.18519,1.18698,48977,0.003750000000000142,0.007509805035604591,0.003750000000000142,0.0004900000000001015,0.0014700000000000824,0.0017899999999999583,0.47733333333330413,0,0,,0,0,0,0,1.1823899486532976,1.1751178317255035,1.19262,1.17652,1.1914,0,0
2026-02-13T07:00:00+0700,1.18641,1.18846,1.18468,1.18669,42651,0.0037800000000001166,0.007243390390204271,0.0037800000000001166,0.000280000000000058,0.0017700000000000493,0.0017300000000000093,0.5317460317460332,0,0,,0,0,0,0,1.1827994773529835,1.175571642246072,1.19262,1.17652,1.1914,0,0
2026-02-16T07:00:00+0700,1.18659,1.187,1.18459,1.18502,22351,0.0024100000000000232,0.006898148219475397,0.0024100000000000232,0.0015700000000000713,0.00041000000000002146,0.00042999999999993044,0.17842323651449224,0,0,,0,0,0,0,1.1830109557003186,1.1759421660795595,1.19262,1.17652,1.1914,0,0
2026-02-17T07:00:00+0700,1.1848,1.18515,1.18118,1.18126,27421,0.003970000000000029,0.006688994775227157,0.003970000000000029,0.0035400000000000986,0.00034999999999985043,8.000000000008001e-05,0.02015113350127945,0,0,,0,0,0,0,1.1828441980145739,1.1761507085862435,1.19281,1.1832799999999999,1.18502,0,0
